aqs id,Date_local,latitude_x,longitude_x,Avg temp Centrigrade,sunshine minutes,pm2.5_conc
01-073-0023,1/1/2016,33.553056,-86.815,4.3,,8.8
01-073-0023,1/4/2016,33.553056,-86.815,3.4,,6.6
01-073-0023,1/7/2016,33.553056,-86.815,7.6,,7.9
01-073-0023,1/10/2016,33.553056,-86.815,5.3,,1.9
01-073-0023,1/13/2016,33.553056,-86.815,4.9,,9.1
01-073-0023,1/16/2016,33.553056,-86.815,9.7,,5.8
01-073-0023,1/19/2016,33.553056,-86.815,-2.3,,5.3
01-073-0023,1/22/2016,33.553056,-86.815,7.5,,4.4
01-073-0023,1/25/2016,33.553056,-86.815,6.7,,8.9
01-073-0023,1/28/2016,33.553056,-86.815,5.2,,5.7
01-073-0023,1/31/2016,33.553056,-86.815,16.3,,4.6
01-073-0023,2/3/2016,33.553056,-86.815,16.2,,2.7
01-073-0023,2/6/2016,33.553056,-86.815,4.3,,10.1
01-073-0023,2/9/2016,33.553056,-86.815,2.7,,4.5
01-073-0023,2/12/2016,33.553056,-86.815,9.5,,12.5
01-073-0023,2/27/2016,33.553056,-86.815,7.2,,8.1
01-073-0023,3/1/2016,33.553056,-86.815,16.5,,9.7
01-073-0023,3/7/2016,33.553056,-86.815,15,,11.2
01-073-0023,3/10/2016,33.553056,-86.815,21.9,,7
01-073-0023,3/13/2016,33.553056,-86.815,18.9,,7.6
01-073-0023,3/16/2016,33.553056,-86.815,22.3,,12.4
01-073-0023,3/19/2016,33.553056,-86.815,15.8,,11.2
01-073-0023,3/22/2016,33.553056,-86.815,10.8,,15.4
01-073-0023,3/25/2016,33.553056,-86.815,14.7,,12.5
01-073-0023,3/28/2016,33.553056,-86.815,16.8,,7
01-073-0023,3/31/2016,33.553056,-86.815,19.9,,9.3
01-073-0023,4/3/2016,33.553056,-86.815,14,,6.3
01-073-0023,4/6/2016,33.553056,-86.815,15.7,,12.2
01-073-0023,4/9/2016,33.553056,-86.815,12.2,,5.3
01-073-0023,4/12/2016,33.553056,-86.815,15.7,,6.3
01-073-0023,4/15/2016,33.553056,-86.815,16.8,,6
01-073-0023,4/18/2016,33.553056,-86.815,18.3,,19.4
01-073-0023,4/21/2016,33.553056,-86.815,20.4,,8.5
01-073-0023,,33.553056,-86.815,19.4,,10.9
01-073-0023,4/27/2016,33.553056,-86.815,23.4,,8.4
01-073-0023,4/30/2016,33.553056,-86.815,22,,10.7
01-073-0023,5/3/2016,33.553056,-86.815,20,,6.2
01-073-0023,5/6/2016,33.553056,-86.815,15,,7.4
01-073-0023,5/9/2016,33.553056,-86.815,21.2,,9.8
01-073-0023,5/12/2016,33.553056,-86.815,24.8,,15.2
01-073-0023,5/15/2016,33.553056,-86.815,16,,5.8
01-073-0023,5/18/2016,33.553056,-86.815,22.7,,11.6
01-073-0023,5/21/2016,33.553056,-86.815,22.9,,8.8
